what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.9,"org.tigris.subversion.clientadapter.javahl",1300787730515
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.6,"org.tigris.subversion.clientadapter.svnkit",1300787730515
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300787731828
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300787747875
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300787748031
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300787748062
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300787751078
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300787751156
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1300787764687
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1300787764703
started,bundle,org.eclipse.jst.jee.ui,1.0.201.v200908270924,"org.eclipse.jst.jee.ui",1300787778343
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1300787778359
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.300.v200903120000,"org.eclipse.jst.j2ee.navigator.ui",1300787778359
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1300787784296
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090818-0225,"org.eclipse.jdt.apt.pluggable.core",1300787784343
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300787785875
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1300787786250
started,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1300787786265
opened,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1300787786296
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1300787786328
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1300787786406
opened,view,org.eclipse.mylyn.tasks.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1300787786500
activated,perspective,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.JavaPerspective",1300787786531
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1300787786546
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1300787786765
